video_id,description
1,"A set of buildings suffers an electric shock, causing a huge flash to happen in the region."
1,A huge electrical discharge occurs quickly in a set of buildings.
1,Several small explosions occur in several buildings in a city.
1,Light comes and goes like lightning between buildings.
1,Bright flashes of lightning appear between numerous standing buildings.
1,There are a number of simultaneous explosions in a city.
1,A video shows multiple explosions happening in a city.
1,A flash of light invades the landscape of a city.
1,A series of explosions goes off in a city.
1,A scene shows a large lightning strike in an urban area.
1,A series of explosions ripple through a city's buildings.
1,A bunch of lights flash inside a city with lots of buildings.
1,Electrical-like fires light up and disappear around large buildings in a city.
1,The area around a group of large buildings in a city is lit up with fire-like light for a few seconds.
1,Several electrical discharge explosions are caused in buildings in the neighborhood.
1,Flash bombs erupt along low-rise concrete buildings of a city.
1,"In a city with a lot of buildings, a flash of fire appears in the middle of the buildings."
1,A bright light passes on a street very fast.
1,This city is lit up or any bomb blast in the apartment area side.
1,Explosions of light suddenly move between city buildings.
2,A woman grabs another woman's hair as she dances past her.
2,One woman is dancing while another woman pulls her hair and looks at her bravely.
2,"A woman claps and suddenly pulls another woman's hair, looking serious."
2,"A woman applauds other people who are dancing, then suddenly pulls a dancing woman."
2,"A woman claps her hands while others dance, and then out of nowhere, she grabs another woman by the arm."
2,A woman grabs another woman who is dancing in front of her.
2,"While dancing, one woman pulls the hair of the other woman."
2,A female warrior watches a blonde girl dancing.
2,The women pull the dancing girl in front of them.
2,A desert princess watches a woman dance energetically.
2,"A lady claps her hands as people around her dance, then she grabs a young girl by the neck as the girl hops past her."
2,A woman is having such a great time dancing.
2,"A woman is clapping while people dance around her, then she grabs another woman's hair and pulls her back."
2,"A group of people is dancing, and suddenly one woman is holding onto another woman while she dances."
2,A female warrior grabs another woman's hair and pulls her back while she is dancing near her.
2,A woman warrior grabs others around her to get their attention.
2,A female warrior suddenly yanks a dancing girl back by grabbing her hair.
2,A woman is clapping and grabs another woman's hair.
2,"A female warrior claps, then pulls another woman's hair."
2,"A woman with a sword across her back is clapping as she watches another woman dance around, then she grabs the woman to stop her from dancing."
3,"A model falls on the runway, and another model stops to help her up."
3,A model fell to the ground at a fashion show and was helped by a colleague.
3,"A woman is walking on the catwalk when she suddenly falls, and a friend who is walking towards her helps her up, and they both continue."
3,"Two women are parading on a catwalk when one of them slips, and the other helps her up."
3,"One woman slips and falls, and another helps her up."
3,"Two runway models in skimpy bathing suits are walking on the runway when one falls, but the other helps her to stand up."
3,A runway model falls down and is helped up by another.
3,"A model slips and falls on the runway, and another model helps her to her feet."
3,"Models wearing swimsuits are walking on a runway at a fashion show, and before two cross, the one that is walking back falls."
3,A model fell on the catwalk during a fashion show but was helped to get up.
3,"The model fell down during the ramp walk, and she was helped by others to stand and continue."
3,"The ramp walk woman fell down, and she was helped by another woman to get up."
3,"A female runway model slips and falls on the catwalk, and then another model stops to help her stand back up."
3,"A woman walks on a catwalk but slips, and then another woman helps her up before the first continues her trip back offstage."
3,"A woman in a bathing suit walks on a runway and falls down, and another model helps her up."
3,"A female model fell during the fashion show, and another model helped her."
3,A model parades on the catwalk and slides on the floor.
3,"A model in a bikini falls on the runway, but another model helps her up before continuing down the runway."
3,A model in a bikini falls down during a fashion show and is helped by another model.
3,A woman model helps to recover another woman model who fell down on a catwalk show.
4,A man has an incredulous expression on his face.
4,Someone talking on stage suddenly makes a different facial expression.
4,A person chuckles and raises his hand in front of a microphone.
4,A man makes a face as he stands in front of an American flag.
4,A man makes a very annoyed expression towards someone.
4,The president gives weird expressions in a press conference.
4,A person in formal clothes is giving a surprised expression to someone.
4,A man in front of two flags and with two microphones in front of him gestures with his hands and face.
4,A former president makes an unimpressed look while he raises his hand in the air.
4,A person gives a surprised reaction to a question.
4,A person makes a weird face in front of a microphone.
4,A former president smirks and raises his hand as if questioning something happening in front of him.
4,A man addresses the people with a happy face.
4,A man in a black suit frowns his face in disagreement.
4,A man in a suit shows his hand confused in front of a flag.
4,A person makes a gesture with one hand and changes the appearance of their face.
4,A man in a suit looks at an interviewer and looks surprised.
4,A man makes a confused and exasperated facial expression.
4,A man looks very confused while standing behind two microphones.
4,A person in the pulpit looking straight ahead makes a disapproving face and raises one hand to his chest.
5,"A man breaks a corner of the house, which collapses entirely in less than a few seconds."
5,"A man breaks the structure of a house, and everything collapses in a few seconds."
5,A man uses a hammer to knock down a building.
5,A man uses a hammer to knock down a building wall.
5,A man crashes into a wall and ends up knocking down the roof of a house.
5,A man breaks a building and causes it to fall.
5,"A man is using a tool to hit the side of a building from the inside, causing the building to collapse."
5,"A building collapses, and a pile of dust envelopes the atmosphere."
5,A building collapses on a man while trying to demolish its base using a hammer.
5,A man is trying to tear down a wall with a hammer when suddenly the whole house collapses.
5,"The person hits the base of the wall with a hammer, and then the whole building is demolished."
5,A man hits a wall with a hammer until the wall completely collapses.
5,"A person hits the bottom of a clay structure, causing the entire structure to give way and fall on him."
5,"This person is breaking a house, but suddenly the house falls down over him."
5,"A man destroys a wall with an ax, and in the process, the whole building collapses."
5,Scene of a man inside a demolished building and wall.
5,A person is demolishing a house using a hammer.
5,A person trying to tear down a wall almost gets crushed under it.
5,"A man is hitting the base of a wall on a damaged housing structure. After a few hits, the wall and the roof of the structure collapse."
5,"A man demolishes a building while inside it, running away as it collapses over him."
6,Two white cartoon mice are having an argument.
6,A mouse is talking angrily to another animal and gesturing a lot in a cartoon.
6,A cartoon mouse is having a heated argument with another mouse who looks upset.
6,"Two animated lab rats are arguing intensely, and one of them is scared."
6,"Two animated lab rats are arguing, while one of them gets scared."
6,"In a classic cartoon, two big mice are trying to conquer the world."
6,A scene of two typically elated cartoon characters having a fight.
6,"A mouse is yelling at another mouse, and it looks scared."
6,A small male mouse expresses anger and dissatisfaction towards a female mouse.
6,"Two cartoon mice are arguing, and one small one seems to be bossing the taller one."
6,"An animation of two mice, one arguing, and the other scared."
6,A cartoon character resembling a mouse is clearly distressed as another speaks in a strong and animated way towards him.
6,Two cartoon mice characters are having a disagreement about something.
6,A small cartoon representation of two cartoon characters.
6,"Two white cartoon mice are in a cage, and the shorter one is upset with the taller one, using angry gestures."
6,A cartoon scene of two white mice speaking.
6,A cartoon of two mice arguing with each other.
6,Two animated mice have an argument with each other.
6,"Cartoon characters are fussing at each other, and the tallest one seems surprised."
6,A short mouse dramatically berates a taller mouse.
7,A bug with purple crystals on its shell crawls along a branch.
7,"An insect crawls on a log and when it comes to its back, it looks like pink crystals."
7,A worm-like creature moves along a tree branch.
7,An insect with a glass-like surface crawls slowly.
7,A sluggish worm moves and folds itself on a surface.
7,An evolved insect crawls on a wooden surface.
7,A crystal-like top animal moves on the floor.
7,A creature with a peculiar diamond-like body moves.
7,A kind of transparent caterpillar moves around in an environment.
7,A caterpillar is shown walking on a tree; it has what looks like crystals growing on it.
7,Clear and pink crystal-looking pyramids cover the back of a caterpillar.
7,A caterpillar with a luminescent purple body shows us several different poses.
7,An insect is walking on the edge of a wall.
7,A worm-looking creature made up of glass is walking slowly.
7,A glowing caterpillar moves along on a stick and curls itself.
7,A glowing caterpillar moves along a stick and coils itself up.
7,A colorful animal is walking slowly to the right.
7,"An animal is walking slowly, and it has a shiny back."
7,A caterpillar with a beautiful crystalline form on its back.
7,A glowing organism is moving while transforming itself.
8,"Still image of a bridge and clouds, with a fountain of water falling in motion."
8,"Water flows from a fountain structure that has a dolphin standing on its tail, while gray skies hover above."
8,Picture of London Bridge and a fountain with a cloudy sky.
8,A dolphin fountain sprays water with a bridge in the background on an overcast day.
8,A fountain overlooking a bridge releases a stream of water.
8,A fountain sprays water in front of a bridge with water in the background.
8,"Water streaming from a fountain, with a statue of a dolphin, against the backdrop of a bridge connected to two towers."
